Time (ms),v (mV),w,Step size h
0.25,-60.0,0.0,0.25
1.5,-60.0,0.0,1.25
3.5,-60.0,0.0,2.0
5.5,-60.0,0.0,2.0
7.5,-60.0,0.0,2.0
9.5,-60.0,0.0,2.0
11.5,-60.0,0.0,2.0
13.5,-60.0,0.0,2.0
15.5,-60.0,0.0,2.0
17.5,-60.0,0.0,2.0
19.5,-60.0,0.0,2.0
21.5,-60.0,0.0,2.0
23.5,-60.0,0.0,2.0
25.5,-60.0,0.0,2.0
27.5,-60.0,0.0,2.0
29.5,-60.0,0.0,2.0
31.5,-60.0,0.0,2.0
33.5,-60.0,0.0,2.0
35.5,-60.0,0.0,2.0
37.5,-60.0,0.0,2.0
39.5,-60.0,0.0,2.0
41.5,-60.0,0.0,2.0
43.5,-60.0,0.0,2.0
45.5,-60.0,0.0,2.0
47.5,-60.0,0.0,2.0
49.5,-60.0,0.0,2.0
51.5,-60.0,0.0,2.0
53.5,-60.0,0.0,2.0
55.5,-60.0,0.0,2.0
57.5,-60.0,0.0,2.0
59.5,-60.0,0.0,2.0
61.5,-60.0,0.0,2.0
63.5,-60.0,0.0,2.0
65.5,-60.0,0.0,2.0
67.5,-60.0,0.0,2.0
69.5,-60.0,0.0,2.0
71.5,-60.0,0.0,2.0
73.5,-60.0,0.0,2.0
75.5,-60.0,0.0,2.0
77.5,-60.0,0.0,2.0
79.5,-60.0,0.0,2.0
81.5,-60.0,0.0,2.0
83.5,-60.0,0.0,2.0
85.5,-60.0,0.0,2.0
87.5,-60.0,0.0,2.0
89.5,-60.0,0.0,2.0
91.5,-60.0,0.0,2.0
93.5,-60.0,0.0,2.0
95.5,-60.0,0.0,2.0
97.5,-60.0,0.0,2.0
99.5,-60.0,0.0,2.0
101.5,-60.0,0.0,2.0
103.5,-58.84384919283272,-0.10209356261498209,2.0
105.5,-57.91737374096091,-0.31058873061555053,2.0
107.5,-57.15676146960509,-0.5987368960139636,2.0
109.5,-56.51903250889982,-0.9467677335186878,2.0
111.5,-55.9742704712113,-1.3398040360430166,2.0
113.5,-55.50106256072384,-1.7664941817905024,2.0
115.5,-55.08371020736999,-2.218085225030512,2.0
117.5,-54.71046067007989,-2.6877767661222105,2.0
119.5,-54.37235040705186,-3.1702596103580367,2.0
121.5,-54.06242753171078,-3.6613795224987307,2.0
123.5,-53.775216211313364,-4.1578877973948964,2.0
125.5,-53.506339558401535,-4.657253423084642,2.0
127.5,-53.25224876825465,-5.157519810770201,2.0
129.5,-53.01002493814939,-5.657194351717424,2.0
131.5,-52.77723149317612,-6.155162551765187,2.0
133.5,-52.551802379126585,-6.6506208505991955,2.0
135.5,-52.331955837466474,-7.143023856633722,2.0
137.5,-52.11612662677007,-7.632042869145894,2.0
139.5,-51.90291158275811,-8.117533376419345,2.0
141.5,-51.69102477128939,-8.599509815788892,2.0
143.5,-51.479259406121706,-9.078126327758968,2.0
145.5,-51.26645431422139,-9.553662579055452,2.0
147.5,-51.05146312209852,-10.026514001919633,2.0
149.5,-50.83312455909859,-10.497186023770336,2.0
151.5,-50.61023235570304,-10.966292061911336,2.0
153.5,-50.38150316559819,-11.434555248966033,2.0
155.5,-50.14554075090191,-11.902814052439767,2.0
157.5,-49.9007943122635,-12.372032174233963,2.0
159.5,-49.645508265815955,-12.84331338542135,2.0
161.5,-49.37765987618282,-13.317922298503493,2.0
163.5,-49.094879799818514,-13.797312547632202,2.0
165.5,-48.794348531815295,-14.283164503310383,2.0
167.5,-48.472658577306476,-14.777435595866484,2.0
169.5,-48.12562720125424,-15.282427729171852,2.0
171.5,-47.74803666036687,-15.800878410840799,2.0
173.5,-47.333265767202214,-16.33608558308698,2.0
175.5,-46.87275456190967,-16.892081549080583,2.0
177.5,-46.35520525652311,-17.473880389329036,2.0
179.5,-45.76535241462779,-18.087838778725512,2.0
181.5,-45.08200183065932,-18.74219799157448,2.0
183.5,-44.27477002287913,-19.44792743475601,2.0
185.5,-43.2983855589453,-20.22009494491078,2.0
187.5,-42.082100867506256,-21.080213440543858,2.0
189.5,-40.508449631448265,-22.060536281977292,2.0
191.5,-38.36616560670951,-23.212632581063858,2.0
193.5,-35.230731982487484,-24.626660349500224,2.0
194.90428299372786,-32.04268651112586,-25.834488320316577,1.4042829937278578
195.97569158708956,-28.664465603883983,-26.933967547419154,1.0714085933616895
196.85256503085293,-24.895716635825668,-27.99844802371679,0.876873443763376
197.57466246713497,-20.71610669284911,-29.028945205248935,0.7220974362820384
198.17231691662184,-16.114461656336328,-30.024902448095094,0.5976544494868801
198.66978474365686,-11.082034560069998,-30.98629821450332,0.4974678270350362
199.08637599619982,-5.611763907974313,-31.913601974332778,0.4165912525429682
199.43741843000805,0.30213462921837797,-32.80765228122858,0.3510424338082431
